@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {water,vegetation,man-made}

@data
154,164,86,195,12.666667,133.666672,164.666672,170,146.333328,28.666666,0,255,255,154,11.333333,123,154,170,136.666672,25.666666,0,255,255,155,5,71.333336,89.333336,255,85.666664,5.333333,0,255,255,0,156.333328,3,20,17,9,28.666666,0,0,255,255,0,0,156.666672,3.333333,4.333333,1.333333,0,5,0,0,170.666672,60,0,0,0,156.666672,3.333333,1.333333,1,0,1.333333,0,0,4.333333,3.333333,0,0,0,0,156.666672,157.666672,154.666672,255,1,156.666672,water
156.333328,166,82,197,17.666666,130.333328,113.333336,85,162.333328,0,0,255,255,156.333328,16.333334,122.666664,108,85,152.666672,0,0,255,255,155.666672,9,74.666664,71.333336,85,95,0,0,255,255,0.666667,156.666672,4.666667,18.333334,19,20.666666,26.666666,0.333333,0,255,233,0,0,157,3.666667,4.333333,1.333333,0,5,0,0,170,72,0,0,0,157,3.333333,1.333333,0.666667,0,1.333333,0,0,3.333333,3,0,0,0,0,156.666672,158.666672,155.333328,255,1,157,water
162.333328,169,81,206,19,133.666672,0,0,80.333336,0,0,255,255,162.333328,16.333334,119.333336,0,0,71,0,0,255,255,160.666672,7,52,3.333333,0,28.333334,0,0,255,255,1.666667,159.666672,3.666667,17.666666,7.333333,111,6.666667,0.666667,1,255,136,2.333333,0.666667,159,4.666667,5.333333,2.333333,3,3.333333,0.333333,0.666667,171.666672,50.666668,2.333333,1.333333,0.333333,159.333328,3.333333,1,0,0,0.666667,0,0,0.333333,1.333333,2.666667,1.333333,0.666667,0.333333,159.333328,160.333328,158,255,1,159,water
172,167,80,216,24.333334,187.666672,0,85,38.666668,0,0,255,255,170.333328,21.666666,173.333328,0,85,40,0,0,255,255,165.333328,12,99.333336,0,0,35,0,0,255,255,5.666667,163.333328,8.666667,29.666666,0,53.666668,10,0,0,255,237.666672,7,1.333333,162.333328,5,6.333333,1,18.333334,1.333333,0,0.333333,119.333336,35.666668,8,2.333333,0.666667,161.666672,3.333333,1.666667,0,0.333333,0.333333,0,1,8.666667,2.666667,8.666667,3,1.666667,0.666667,162.333328,163.666672,161.333328,255,0.666667,162.333328,water
166,167,79,208,24.333334,116.333336,0,0,84.666664,0,0,255,255,166,21.666666,105.333336,0,0,76,0,0,255,255,165.333328,9.333333,47.666668,5.333333,0,39,0,0.333333,255,255,0.666667,165,4.333333,16,10.666667,20,17.333334,0,0.666667,255,241,1,0.333333,164.666672,2.666667,5.333333,0,0,3,0,0.666667,255,63.666668,1,0.333333,0.333333,164.333328,1.666667,2.333333,0,0.333333,1,0,1,77.666664,9.666667,1.666667,1.333333,1,1,164.666672,166.333328,163,255,1,164.333328,water
169.666672,167,80,213,33.333332,150.333328,62,0,169.666672,0,1,255,255,167.666672,30.333334,135.666672,65,0,156.333328,0,1,255,255,162.666672,17.666666,70,78,170,77.333336,14.666667,0.666667,255,255,5,163.333328,8.333333,28,35,177,32.333332,3.333333,0,255,253.666672,4.666667,0,164.666672,3.666667,5.666667,6.333333,4.666667,7,0.333333,0.333333,255,34.333332,3.666667,0,0,164.333328,1.666667,1.333333,0,0.333333,0.333333,0,0.333333,1.666667,1.333333,3.333333,0,0,0,164.666672,166,163.666672,255,1,164.666672,water
170,167,78,212,13,189,0,255,0,0,0,255,255,169.333328,12,174.333328,0,255,1,0,0,255,255,166.666672,4,103.333336,0,85,26.333334,0,0,255,255,2.666667,164.666672,3,38,0,0,24,0,0,255,255,4.333333,2,164,1.333333,7.333333,0,0,6,0,0,255,136.666672,5.333333,2.666667,1,163.666672,1.333333,2,0,0,1,0,0,18,7.333333,6,3.333333,1.333333,0.666667,164.666672,166.666672,162.333328,255,1.333333,164.333328,water
162.666672,167,82,206,19.666666,94,30.666666,85,101.333336,4,0.333333,255,255,162.666672,18,85.666664,24.666666,85,91,3,0.333333,255,255,164,9.333333,45,6,0,39.333332,0,0.333333,255,255,0,164,3.666667,16.333334,0.666667,0,12,0,0.333333,255,247.333328,0,0,163.666672,3,8.333333,0,10.666667,1.666667,0,1,255,82,0,0.666667,0.666667,162,2.333333,3.666667,0,4.333333,0,0,1.333333,72,3.333333,1,2,2.333333,1.666667,163,165,161.666672,255,1,163,water
158.666672,167,84,202,8,120,0,85,58.333332,0,0,255,255,158.666672,8,114.666664,0,85,50.333332,0,0,255,255,159.333328,6.666667,86,0,85,21,0,0,255,255,0,158.333328,5.333333,43,0,54.666668,12,0,0,255,255,0.666667,1,156.666672,5.333333,9.666667,0,0,5.666667,0,0,255,182.333328,2,3,1.333333,156,5.333333,1.666667,0,0.666667,0.333333,0,0,3.333333,2.333333,2.666667,3.666667,2.333333,0.666667,157,159,154.666672,255,1.666667,157,water
147.666672,167,89,191,39.333332,148.333328,34,0,172.333328,0,1,255,255,147.666672,36.666668,137,30.666666,0,158,0,1,255,255,148.333328,24.333334,75.666664,15.333333,0,83.333336,0,1,255,255,0,148.666672,12.333333,20,12.333333,0,24,0,0,255,255,0,0,148.666672,7.666667,4,1.333333,0,3.666667,0,0,118.666664,43.666668,0,0,0,148.333328,6.333333,1.333333,0,0,1,0,0,9.333333,5,0,0.333333,0.333333,0.333333,149.333328,150.666672,147,255,1,149.333328,water
