@RELATION amazon

@ATTRIBUTE id string
@ATTRIBUTE mean_r numeric
@ATTRIBUTE mean_g numeric
@ATTRIBUTE mean_b numeric
@ATTRIBUTE mean_intensity numeric
@ATTRIBUTE gray_histogram_0 numeric
@ATTRIBUTE gray_histogram_1 numeric
@ATTRIBUTE gray_histogram_2 numeric
@ATTRIBUTE gray_histogram_3 numeric
@ATTRIBUTE gray_histogram_4 numeric
@ATTRIBUTE gray_histogram_5 numeric
@ATTRIBUTE gray_histogram_6 numeric
@ATTRIBUTE gray_histogram_7 numeric
@ATTRIBUTE gray_histogram_8 numeric
@ATTRIBUTE gray_histogram_9 numeric
@ATTRIBUTE gray_histogram_10 numeric
@ATTRIBUTE gray_histogram_11 numeric
@ATTRIBUTE gray_histogram_12 numeric
@ATTRIBUTE gray_histogram_13 numeric
@ATTRIBUTE gray_histogram_14 numeric
@ATTRIBUTE gray_histogram_15 numeric
@ATTRIBUTE lbp_histogram_0 numeric
@ATTRIBUTE lbp_histogram_1 numeric
@ATTRIBUTE lbp_histogram_2 numeric
@ATTRIBUTE lbp_histogram_3 numeric
@ATTRIBUTE lbp_histogram_4 numeric
@ATTRIBUTE lbp_histogram_5 numeric
@ATTRIBUTE lbp_histogram_6 numeric
@ATTRIBUTE lbp_histogram_7 numeric
@ATTRIBUTE lbp_histogram_8 numeric
@ATTRIBUTE lbp_histogram_9 numeric
@ATTRIBUTE lbp_histogram_10 numeric
@ATTRIBUTE lbp_histogram_11 numeric
@ATTRIBUTE lbp_histogram_12 numeric
@ATTRIBUTE lbp_histogram_13 numeric
@ATTRIBUTE lbp_histogram_14 numeric
@ATTRIBUTE lbp_histogram_15 numeric
@ATTRIBUTE class {forest,water,grass,dirty,human-made}

@DATA
'00720.1',142.567803,151.395764,142.261889,147.716265,0.002319,0.022977,0.045954,0.069564,0.115518,0.157046,0.223237,0.340653,0.420124,0.443734,0.449004,0.347609,0.246214,0.152619,0.082001,0.046376,0.245080,0.091837,0.103316,0.070335,0.052478,0.045372,0.032981,0.031523,0.039541,0.033528,0.039905,0.038994,0.037172,0.040634,0.032070,0.065233,forest
'00720.2',100.335293,114.357546,119.963034,110.807694,0.004957,0.038741,0.102880,0.177983,0.276452,0.378648,0.468304,0.492591,0.416844,0.273161,0.143287,0.066062,0.029998,0.014652,0.006870,0.005095,0.224640,0.083752,0.085801,0.070047,0.053326,0.046180,0.042123,0.041989,0.042267,0.042648,0.042597,0.041371,0.039312,0.038437,0.036038,0.069471,forest
'02177.1',40.643435,49.690826,72.161620,49.554820,0.052815,0.601302,0.703449,0.284085,0.167276,0.129608,0.101095,0.063265,0.030539,0.011908,0.003807,0.002916,0.001134,0.000162,0.000081,0.000243,0.222234,0.086430,0.083946,0.073142,0.064067,0.053803,0.045916,0.045592,0.042351,0.034464,0.040622,0.039974,0.033600,0.037165,0.031331,0.065363,forest
'02177.2',140.165150,143.553949,122.836677,140.182628,0.002140,0.009417,0.025605,0.045956,0.091834,0.160865,0.273284,0.401423,0.490261,0.474190,0.397727,0.285775,0.137712,0.050586,0.017939,0.009611,0.354136,0.156960,0.129975,0.086112,0.046155,0.029537,0.024484,0.018650,0.016097,0.016670,0.016670,0.015680,0.017139,0.020890,0.015941,0.034903,forest
'02177.3',167.671624,146.986317,146.870024,153.176098,0.000000,0.000000,0.000191,0.000232,0.000969,0.002143,0.008912,0.047454,0.306600,0.807409,0.498162,0.059791,0.003153,0.000300,0.000150,0.000027,0.412177,0.194306,0.131689,0.069108,0.037135,0.023048,0.016853,0.011985,0.011284,0.009883,0.009219,0.009551,0.010805,0.016226,0.010842,0.025888,dirty
'02177.4',200.731080,181.766225,179.636426,187.214375,0.000000,0.000000,0.000172,0.000172,0.000613,0.000859,0.001914,0.003361,0.011089,0.060498,0.396475,0.688341,0.573037,0.190841,0.019209,0.005863,0.420195,0.201831,0.126306,0.069265,0.040094,0.023324,0.017065,0.011456,0.009212,0.009094,0.008680,0.008680,0.008621,0.012755,0.008739,0.024683,dirty
'02830.2',60.118261,73.556947,85.754388,70.921628,0.008035,0.095960,0.273432,0.512255,0.614507,0.468619,0.222124,0.080495,0.021830,0.005954,0.001670,0.000363,0.000290,0.000024,0.000000,0.000000,0.182968,0.068416,0.071254,0.064932,0.055211,0.050940,0.048046,0.051502,0.052822,0.051839,0.051670,0.047737,0.046220,0.042426,0.040460,0.073558,forest
'02830.3',152.676118,155.034105,133.888289,151.918883,0.003228,0.021269,0.070940,0.124995,0.152023,0.187515,0.221545,0.284740,0.335305,0.400421,0.421515,0.385740,0.309521,0.235593,0.151608,0.130078,0.232315,0.089870,0.090425,0.071185,0.053519,0.044380,0.035223,0.035204,0.036832,0.037776,0.037998,0.039552,0.038053,0.042178,0.038312,0.077179,forest
'00778.1',155.349054,158.779650,140.545124,155.685032,0.000499,0.003475,0.009968,0.021268,0.038562,0.072587,0.133103,0.220590,0.389799,0.521113,0.533890,0.399018,0.218863,0.095811,0.034046,0.017522,0.332034,0.131041,0.122929,0.090305,0.057134,0.040072,0.029332,0.025117,0.021393,0.020440,0.017091,0.017611,0.017004,0.020180,0.018766,0.039552,forest
'02830.1',105.722925,114.428779,105.903752,110.847084,0.003058,0.029646,0.086087,0.169842,0.253286,0.382495,0.505277,0.521189,0.379645,0.242506,0.130453,0.067066,0.028091,0.012905,0.005805,0.003265,0.248584,0.104309,0.091991,0.071982,0.054051,0.044800,0.036121,0.037420,0.036277,0.037056,0.037784,0.034821,0.032691,0.036952,0.032847,0.062315,forest
'00887.6',113.621167,122.349308,113.317228,118.697684,0.002109,0.022689,0.066316,0.119537,0.219949,0.343070,0.472750,0.492149,0.448690,0.304673,0.197218,0.109036,0.057881,0.024650,0.009868,0.005440,0.293861,0.118844,0.110060,0.078811,0.053687,0.038628,0.032554,0.029818,0.027986,0.027458,0.026555,0.026705,0.029215,0.027258,0.025400,0.053160,forest
'02054.1',146.608614,152.547703,137.934481,149.105989,0.001152,0.005154,0.015148,0.030402,0.053994,0.096422,0.172144,0.284281,0.464994,0.544445,0.481337,0.319878,0.153392,0.067634,0.032078,0.019423,0.296676,0.118644,0.112066,0.085835,0.059711,0.043334,0.036219,0.032138,0.029560,0.025345,0.025560,0.025077,0.022848,0.021720,0.020002,0.045267,forest
'02054.2',107.454357,113.014665,106.817378,110.652149,0.012247,0.052527,0.109993,0.186265,0.262586,0.377952,0.468573,0.478001,0.426391,0.278571,0.154044,0.076939,0.033772,0.013849,0.006674,0.003955,0.270590,0.102199,0.109179,0.087415,0.057827,0.043698,0.036530,0.032301,0.030710,0.030411,0.028483,0.028670,0.028577,0.030523,0.027211,0.055675,forest
'00887.5',53.116847,62.944433,72.596828,61.087771,0.021377,0.216350,0.429059,0.626382,0.537208,0.272709,0.106368,0.040482,0.018046,0.006583,0.002091,0.000749,0.000155,0.000000,0.000000,0.000000,0.232988,0.082674,0.082912,0.070049,0.056983,0.049618,0.046089,0.045342,0.042220,0.042661,0.039369,0.039403,0.036314,0.037638,0.031834,0.063906,forest
'00887.2',161.559147,165.697233,149.021044,162.559147,0.000000,0.000239,0.000478,0.004543,0.013869,0.043041,0.092537,0.201334,0.366562,0.502857,0.535376,0.427297,0.263982,0.139404,0.048779,0.029889,0.321155,0.127873,0.121391,0.091043,0.051267,0.038892,0.028874,0.024160,0.025339,0.022687,0.020625,0.025928,0.017089,0.022392,0.021214,0.040071,forest
'00887.3',174.191411,177.313156,152.436466,173.549496,0.000000,0.000908,0.005450,0.012717,0.025584,0.045265,0.084171,0.156080,0.267198,0.378619,0.487163,0.475658,0.425398,0.258872,0.158048,0.119899,0.316049,0.134646,0.114080,0.079803,0.050624,0.033574,0.027246,0.027421,0.022675,0.021269,0.020742,0.023203,0.024609,0.032167,0.023027,0.048866,forest
'00887.1',206.158315,209.886453,179.454961,205.315886,0.000000,0.000071,0.000000,0.000357,0.001214,0.002714,0.007498,0.016710,0.041060,0.094402,0.206514,0.354473,0.529496,0.527996,0.411029,0.304415,0.362801,0.143409,0.108757,0.075775,0.051456,0.037366,0.029120,0.023380,0.023275,0.019518,0.020562,0.016908,0.017743,0.018578,0.015865,0.035487,forest
'01154.1',143.765895,149.087703,132.316947,145.586166,0.001757,0.008444,0.022929,0.035350,0.065891,0.106388,0.186579,0.323601,0.487805,0.549505,0.453349,0.268589,0.142323,0.064813,0.026936,0.014269,0.311288,0.132753,0.114496,0.079757,0.053722,0.041994,0.031999,0.028896,0.024826,0.023052,0.023214,0.022529,0.020110,0.024745,0.020030,0.046588,forest
'01154.2',116.656124,125.750514,115.452930,121.851875,0.005078,0.034790,0.075132,0.113238,0.173062,0.270874,0.388524,0.501940,0.511415,0.381936,0.223693,0.113549,0.054717,0.024442,0.009697,0.006307,0.260582,0.101539,0.096238,0.076805,0.056311,0.047498,0.037557,0.036149,0.033714,0.032123,0.030732,0.031030,0.030765,0.032455,0.031925,0.064578,forest
'01154.3',33.545732,44.213078,71.778688,44.158845,0.019856,0.535330,0.714987,0.408651,0.172374,0.066071,0.025492,0.008931,0.003815,0.001474,0.001040,0.000347,0.000173,0.000000,0.000000,0.000000,0.192152,0.072534,0.065583,0.057287,0.052915,0.057623,0.053812,0.050000,0.053139,0.049888,0.050448,0.043498,0.043610,0.047309,0.034417,0.075785,forest
'02838.2',126.338813,131.979792,119.502189,128.870212,0.003378,0.049115,0.118774,0.143066,0.174437,0.223020,0.278729,0.375363,0.473108,0.470563,0.382928,0.237364,0.116206,0.046293,0.017582,0.007496,0.231272,0.092409,0.097684,0.075477,0.053379,0.039942,0.034971,0.033994,0.032583,0.036034,0.037836,0.039008,0.040094,0.041939,0.039117,0.074261,forest
'02601.1',91.603732,99.389492,99.136798,97.030031,0.009469,0.143220,0.272479,0.303733,0.375754,0.429036,0.436194,0.376843,0.307579,0.205749,0.116567,0.061462,0.029097,0.013537,0.005113,0.001534,0.222741,0.089535,0.088824,0.070560,0.054894,0.043144,0.037096,0.038862,0.038517,0.038172,0.041683,0.042068,0.039146,0.039775,0.037868,0.077115,forest
'02601.2',89.935234,103.129072,106.799344,99.602294,0.001342,0.053491,0.197475,0.270522,0.402427,0.477391,0.466846,0.347403,0.305415,0.222783,0.105256,0.045630,0.018597,0.007094,0.002492,0.000575,0.190301,0.087733,0.074175,0.061094,0.052959,0.046897,0.040995,0.040676,0.039241,0.038603,0.047535,0.051204,0.051523,0.049928,0.043867,0.083267,forest
'02601.3',147.114004,152.937699,136.005253,149.265469,0.000940,0.020807,0.051842,0.075906,0.100319,0.138195,0.194977,0.272412,0.383112,0.473836,0.481464,0.397581,0.252829,0.139266,0.061896,0.037527,0.241296,0.093558,0.095187,0.072749,0.054445,0.041393,0.035631,0.034226,0.035082,0.035163,0.038848,0.038156,0.036446,0.039846,0.036873,0.071100,forest
'02601.4',37.373479,45.902650,60.859143,45.054176,0.101389,0.552622,0.653831,0.422930,0.253830,0.109091,0.038334,0.012181,0.003762,0.001075,0.000179,0.000000,0.000000,0.000000,0.000000,0.000000,0.157984,0.054348,0.060907,0.056597,0.060345,0.054723,0.052474,0.054723,0.052099,0.056784,0.049288,0.050975,0.051349,0.051162,0.049663,0.086582,forest
'02838.4',88.410537,95.050483,95.020187,93.061969,0.020461,0.233904,0.316813,0.309655,0.350983,0.396372,0.401500,0.383730,0.320114,0.200242,0.117942,0.054782,0.018481,0.005991,0.001777,0.001066,0.204350,0.078061,0.081370,0.068819,0.052227,0.046854,0.044145,0.039374,0.043415,0.041609,0.043544,0.043200,0.043544,0.044618,0.041094,0.083778,forest
'00457.1',60.325073,76.107392,91.239508,73.119431,0.000000,0.021689,0.283456,0.634846,0.632852,0.292992,0.129200,0.082643,0.066065,0.038330,0.018261,0.010097,0.003802,0.000873,0.000686,0.000000,0.206093,0.087144,0.075078,0.062714,0.053478,0.050499,0.049382,0.043647,0.051691,0.049307,0.045509,0.044838,0.041338,0.036571,0.033368,0.069343,forest
'00457.3',173.825366,181.229440,158.333289,176.403296,0.000110,0.000840,0.007887,0.018476,0.031147,0.049879,0.075914,0.113049,0.176876,0.275611,0.428899,0.560023,0.491375,0.324833,0.144451,0.070254,0.286997,0.116446,0.108122,0.074915,0.053185,0.039823,0.032638,0.028257,0.028345,0.027381,0.028126,0.028213,0.028038,0.030930,0.027907,0.060676,forest
'00457.2',32.577361,43.983309,64.595074,42.927190,0.026604,0.375970,0.807631,0.432549,0.134245,0.022478,0.006226,0.002159,0.001242,0.000458,0.000281,0.000118,0.000044,0.000030,0.000015,0.000000,0.160624,0.055883,0.059376,0.057191,0.053555,0.051390,0.051165,0.057211,0.056169,0.058192,0.057824,0.056129,0.050226,0.049123,0.042035,0.083907,forest
'00457.4',132.229952,138.863348,125.300689,135.333129,0.001800,0.038566,0.126003,0.151384,0.186979,0.223880,0.266901,0.339623,0.408475,0.446321,0.394479,0.329003,0.205700,0.114753,0.046216,0.022906,0.257461,0.106638,0.102492,0.075671,0.049972,0.038224,0.033473,0.031443,0.033646,0.033732,0.034078,0.033819,0.034121,0.035848,0.033559,0.065823,forest
'02621.2',122.782655,131.031845,128.856104,128.314028,0.002849,0.031234,0.097181,0.156106,0.198155,0.253365,0.329655,0.397837,0.458290,0.441492,0.346059,0.226949,0.121975,0.054769,0.023536,0.012594,0.270474,0.104514,0.102798,0.076795,0.055374,0.043133,0.034390,0.032075,0.030002,0.030472,0.030569,0.029954,0.031929,0.032949,0.029986,0.064587,forest
'02621.1',90.601875,100.863665,106.509427,98.434646,0.009892,0.089390,0.213597,0.309721,0.366697,0.423170,0.446307,0.417219,0.328946,0.201134,0.110459,0.048733,0.017073,0.005365,0.001229,0.000391,0.226445,0.085645,0.081241,0.071708,0.058884,0.047952,0.041916,0.039118,0.036787,0.037771,0.037590,0.038367,0.039584,0.039662,0.038419,0.078910,forest
'00376.1',173.533112,175.809974,151.086967,172.323635,0.000170,0.002210,0.008110,0.017823,0.027802,0.048903,0.075952,0.136073,0.216615,0.352178,0.487790,0.533585,0.437867,0.264571,0.117182,0.055702,0.337121,0.132793,0.122418,0.084943,0.056756,0.037763,0.027005,0.023430,0.022792,0.019727,0.018259,0.019312,0.017844,0.020206,0.018099,0.041530,forest
'00376.3',47.180228,57.599496,72.736318,56.198280,0.029170,0.310017,0.617379,0.565603,0.392091,0.193256,0.091422,0.045687,0.018853,0.008950,0.003068,0.000954,0.000397,0.000270,0.000064,0.000048,0.223107,0.076680,0.079943,0.070741,0.058336,0.050654,0.047917,0.045809,0.044694,0.044654,0.042688,0.041026,0.037661,0.037762,0.032756,0.065572,forest
'00376.2',136.993019,140.161510,123.686907,137.344472,0.002336,0.021246,0.049722,0.082314,0.132704,0.209122,0.301781,0.398000,0.449057,0.470970,0.387877,0.270969,0.156730,0.079199,0.033259,0.014016,0.316123,0.127146,0.109604,0.084598,0.057104,0.034959,0.025877,0.025628,0.024011,0.022394,0.024509,0.022891,0.025255,0.029112,0.024135,0.046653,forest
'00376.4',124.897346,131.950206,123.708513,128.899634,0.000703,0.009003,0.030809,0.087080,0.216505,0.375332,0.437090,0.445390,0.390807,0.344383,0.277419,0.206095,0.129003,0.071887,0.037843,0.014490,0.277059,0.115589,0.107420,0.079918,0.061811,0.047379,0.039483,0.034717,0.032131,0.026549,0.026549,0.031995,0.026957,0.022192,0.022737,0.047515,forest
